34117,Kassel
34119,Kassel
34121,Kassel
34123,Kassel
34125,Kassel
34127,Kassel
34127,Fuldatal
34128,Kassel
34130,Kassel
34131,Kassel
34132,Kassel
34134,Kassel
34212,Melsungen
34225,Baunatal
34233,Kassel
34233,Fuldatal
34246,Vellmar
34253,Lohfelden
34260,Kaufungen
34266,Niestetal
34270,Schauenburg
34277,Fuldabrück
34281,Gudensberg
34286,Spangenberg
34289,Zierenberg
34292,Ahnatal
34295,Edermünde
34298,Helsa
34302,Guxhagen
34305,Niedenstein
34308,Bad Emstal
34311,Naumburg (Hessen)
34314,Espenau
34317,Habichtswald
34320,Söhrewald
34323,Malsfeld
34326,Morschen
34327,Körle
34329,Nieste
34355,Kassel
34359,Reinhardshagen
34369,Hofgeismar
34376,Immenhausen
34379,Calden
34385,Bad Karlshafen
34388,Trendelburg
34393,Grebenstein
34396,Liebenau
34399,Wesertal
34454,Bad Arolsen
34466,Wolfhagen
34471,Volkmarsen
34474,Diemelstadt
34477,Twistetal
34479,Breuna
34497,Korbach
34508,Willingen (Upland)
34513,Korbach
34513,Waldeck
34516,Vöhl
34519,Diemelsee
34537,Bad Wildungen
34549,Edertal
34560,Fritzlar
34576,Homberg (Efze)
34582,Borken (Hessen)
34587,Felsberg
34590,Wabern
34593,Knüllwald
34596,Bad Zwesten
34599,Neuental
34613,Schwalmstadt
34621,Frielendorf
34626,Neukirchen (Knüll)
34628,Willingshausen
34630,Gilserberg
34632,Jesberg
34633,Ottrau
34637,Schrecksbach
34639,Schwarzenborn (Knüll)
35037,Marburg
35039,Marburg
35041,Marburg
35043,Marburg
35066,Frankenberg (Eder)
35075,Gladenbach
35080,Bad Endbach
35083,Wetter (Hessen)
35085,Ebsdorfergrund
35088,Battenberg (Eder)
35091,Cölbe
35094,Marburg
35094,Lahntal
35096,Weimar (Lahn)
35099,Burgwald
35102,Lohra
35104,Lichtenfels (Hessen)
35108,Allendorf (Eder)
35110,Frankenau
35112,Fronhausen
35114,Haina (Kloster)
35116,Hatzfeld (Eder)
35117,Münchhausen am Christenberg
35119,Rosenthal
35216,Biedenkopf
35232,Dautphetal
35236,Breidenbach
35239,Steffenberg
35260,Stadtallendorf
35274,Kirchhain
35279,Neustadt (Hessen)
35282,Rauschenberg
35285,Gemünden (Wohra)
35287,Amöneburg
35288,Wohratal
35305,Grünberg (Hessen)
35315,Homberg (Ohm)
35321,Laubach
35325,Mücke
35327,Ulrichstein
35329,Gemünden (Felda)
35390,Gießen
35392,Gießen
35394,Gießen
35396,Gießen
35398,Gießen
35410,Hungen
35415,Pohlheim
35418,Buseck
35423,Lich
35428,Langgöns
35435,Wettenberg
35440,Linden (Hessen)
35444,Biebertal
35447,Reiskirchen
35452,Heuchelheim an der Lahn
35457,Lollar
35460,Staufenberg (Hessen)
35463,Fernwald
35466,Rabenau (Hessen)
35469,Allendorf (Lumda)
35510,Butzbach
35516,Münzenberg
35519,Rockenberg
35576,Wetzlar
35578,Wetzlar
35579,Wetzlar
35580,Wetzlar
35581,Wetzlar
35582,Wetzlar
35583,Wetzlar
35584,Wetzlar
35585,Wetzlar
35586,Wetzlar
35606,Solms
35614,Aßlar
35619,Braunfels
35625,Hüttenberg
35630,Ehringshausen
35633,Lahnau
35638,Leun
35641,Schöffengrund
35644,Hohenahr
35647,Waldsolms
35649,Bischoffen
35683,Dillenburg
35684,Dillenburg
35685,Dillenburg
35686,Dillenburg
35687,Dillenburg
35688,Dillenburg
35689,Dillenburg
35690,Dillenburg
35708,Haiger
